ListingId	EventId	StartDateTime	EndDateTime	EventType
181260351	123307031	2023-05-27T14:15:00	2023-05-27T14:30:00	EXHIBITION
181288542	123316662	2023-05-27T09:00:00	2023-05-27T09:15:00	EXHIBITION
181320342	123314892	2023-05-27T10:40:00	2023-05-27T11:00:00	EXHIBITION
181337945	123314800	2023-05-27T10:00:00	2023-05-27T10:15:00	EXHIBITION
181341079	123314781	2023-05-27T11:00:00	2023-05-27T11:15:00	EXHIBITION
181350043	123329488	2023-05-31T12:25:00	2023-05-31T12:40:00	EXHIBITION
181350043	123329489	2023-05-28T10:00:00	2023-05-28T10:15:00	EXHIBITION
181369586	123266127	2023-05-30T12:30:00	2023-05-30T12:45:00	EXHIBITION
181384067	123299989	2023-05-27T12:00:00	2023-05-27T12:20:00	EXHIBITION
181386878	123317357	2023-05-27T11:00:00	2023-05-27T11:15:00	EXHIBITION
181389755	123313688	2023-05-27T09:30:00	2023-05-27T09:45:00	EXHIBITION
181393010	123325619	2023-05-30T12:15:00	2023-05-30T12:30:00	EXHIBITION
181396531	123434953	2023-06-10T12:00:00	2023-06-10T12:15:00	EXHIBITION
181398982	123314821	2023-05-27T13:00:00	2023-05-27T13:15:00	EXHIBITION
181399009	123316873	2023-05-27T09:45:00	2023-05-27T10:00:00	EXHIBITION
181400404	123319845	2023-05-27T10:40:00	2023-05-27T10:55:00	EXHIBITION
181405299	123325892	2023-05-30T15:50:00	2023-05-30T16:05:00	EXHIBITION
181405572	123319682	2023-05-27T11:40:00	2023-05-27T11:55:00	EXHIBITION
181422090	123316324	2023-05-27T09:55:00	2023-05-27T10:10:00	EXHIBITION
181422309	123322212	2023-05-27T11:10:00	2023-05-27T11:25:00	EXHIBITION
181425686	123249274	2023-05-27T10:00:00	2023-05-27T10:45:00	EXHIBITION
181426351	123314786	2023-05-31T12:30:00	2023-05-31T12:45:00	EXHIBITION
181427540	123322136	2023-05-27T11:30:00	2023-05-27T11:45:00	EXHIBITION
181429763	123325559	2023-05-30T14:00:00	2023-05-30T14:15:00	EXHIBITION
181431055	123306929	2023-05-27T11:00:00	2023-05-27T11:15:00	EXHIBITION
181432447	123328787	2023-05-31T15:00:00	2023-05-31T15:15:00	EXHIBITION
181439278	123283662	2023-05-31T13:20:00	2023-05-31T13:35:00	EXHIBITION
181439306	123283728	2023-05-27T10:30:00	2023-05-27T11:00:00	EXHIBITION
181439486	123312382	2023-05-27T11:10:00	2023-05-27T11:30:00	EXHIBITION
181439581	123283661	2023-05-30T16:45:00	2023-05-30T17:00:00	EXHIBITION
181443583	123329375	2023-05-31T12:00:00	2023-05-31T12:15:00	EXHIBITION
181443583	123329376	2023-05-28T10:30:00	2023-05-28T10:45:00	EXHIBITION
181444436	123307092	2023-05-27T12:45:00	2023-05-27T13:05:00	EXHIBITION
181447257	123303593	2023-05-27T10:15:00	2023-05-27T10:45:00	EXHIBITION
181450499	123266128	2023-05-30T13:00:00	2023-05-30T13:15:00	EXHIBITION
181451916	123321271	2023-05-27T11:10:00	2023-05-27T11:30:00	EXHIBITION
181453853	123329377	2023-05-27T08:30:00	2023-05-27T08:45:00	EXHIBITION
181454295	123302688	2023-05-27T11:50:00	2023-05-27T12:05:00	EXHIBITION
181454352	123313874	2023-05-27T11:45:00	2023-05-27T12:00:00	EXHIBITION
181455275	123309261	2023-05-27T09:30:00	2023-05-27T09:50:00	EXHIBITION
181455275	123508318	2023-06-17T14:00:00	2023-06-17T14:15:00	EXHIBITION
181455413	123309370	2023-05-27T11:00:00	2023-05-27T11:20:00	EXHIBITION
181455413	123508206	2023-06-17T15:00:00	2023-06-17T15:15:00	EXHIBITION
181455610	123328976	2023-05-27T09:15:00	2023-05-27T09:30:00	EXHIBITION
181455681	123309105	2023-05-27T10:00:00	2023-05-27T10:20:00	EXHIBITION
181455769	123309291	2023-05-27T10:30:00	2023-05-27T10:50:00	EXHIBITION
181455769	123508435	2023-06-17T14:30:00	2023-06-17T14:45:00	EXHIBITION
181455846	123321166	2023-05-27T14:20:00	2023-05-27T14:30:00	EXHIBITION
181463231	123319733	2023-05-27T10:15:00	2023-05-27T10:30:00	EXHIBITION
181465711	123316322	2023-05-27T10:15:00	2023-05-27T10:30:00	EXHIBITION
181465771	123321321	2023-05-27T14:10:00	2023-05-27T14:20:00	EXHIBITION
181465987	123321092	2023-05-27T14:30:00	2023-05-27T14:40:00	EXHIBITION
181470868	123310757	2023-05-27T14:45:00	2023-05-27T15:00:00	EXHIBITION
181471513	123319847	2023-05-28T16:05:00	2023-05-28T16:20:00	EXHIBITION
181473589	123325912	2023-05-30T13:35:00	2023-05-30T13:50:00	EXHIBITION
181474143	123306015	2023-05-27T11:55:00	2023-05-27T12:10:00	EXHIBITION
181474455	123326355	2023-05-31T14:45:00	2023-05-31T15:00:00	EXHIBITION
181474481	123314750	2023-05-30T16:15:00	2023-05-30T16:30:00	EXHIBITION
181474622	123308938	2023-05-27T11:45:00	2023-05-27T12:00:00	EXHIBITION
181475487	123320031	2023-05-27T09:45:00	2023-05-27T10:00:00	EXHIBITION
181476291	123329671	2023-05-31T13:30:00	2023-05-31T13:45:00	EXHIBITION
181477419	123319897	2023-05-27T13:15:00	2023-05-27T13:30:00	EXHIBITION
181477627	123319844	2023-05-27T08:45:00	2023-05-27T09:00:00	EXHIBITION
181478332	123329770	2023-05-27T10:45:00	2023-05-27T11:00:00	EXHIBITION
181481364	123297099	2023-05-27T10:30:00	2023-05-27T10:45:00	EXHIBITION
181481364	123321469	2023-05-31T12:50:00	2023-05-31T13:05:00	EXHIBITION
181482522	123316699	2023-05-27T10:40:00	2023-05-27T11:00:00	EXHIBITION
181484278	123299988	2023-05-27T14:00:00	2023-05-27T14:20:00	EXHIBITION
181484322	123313797	2023-05-27T13:15:00	2023-05-27T13:30:00	EXHIBITION
181484959	123326157	2023-06-02T13:00:00	2023-06-02T13:15:00	EXHIBITION
181484959	123326158	2023-05-27T11:00:00	2023-05-27T11:15:00	EXHIBITION
181484959	123409159	2023-06-10T10:15:00	2023-06-10T10:30:00	EXHIBITION
181484959	123409370	2023-06-16T16:00:00	2023-06-16T16:15:00	EXHIBITION
181484976	123278272	2023-05-31T13:00:00	2023-05-31T13:15:00	EXHIBITION
181484977	123309439	2023-05-27T13:15:00	2023-05-27T13:30:00	EXHIBITION
181484980	123289020	2023-05-27T11:15:00	2023-05-27T11:30:00	EXHIBITION
181485177	123326390	2023-05-27T11:35:00	2023-05-27T11:50:00	EXHIBITION
181488591	123317027	2023-05-27T11:50:00	2023-05-27T12:05:00	EXHIBITION
181488686	123297270	2023-05-27T13:30:00	2023-05-27T14:00:00	EXHIBITION
181488687	123317112	2023-05-27T09:00:00	2023-05-27T09:15:00	EXHIBITION
181488840	123452556	2023-06-10T10:30:00	2023-06-10T10:45:00	EXHIBITION
181489000	123317334	2023-05-27T10:00:00	2023-05-27T10:15:00	EXHIBITION
181492372	123329794	2023-05-27T13:00:00	2023-05-27T13:15:00	EXHIBITION
181492409	123332520	2023-05-30T15:15:00	2023-05-30T15:30:00	EXHIBITION
181493546	123319911	2023-05-27T10:15:00	2023-05-27T10:30:00	EXHIBITION
181493884	123325801	2023-05-31T12:15:00	2023-05-31T12:45:00	EXHIBITION
181494040	123325781	2023-05-31T12:15:00	2023-05-31T12:45:00	EXHIBITION
181494049	123325800	2023-05-31T12:15:00	2023-05-31T12:45:00	EXHIBITION
181494081	123325780	2023-06-01T16:30:00	2023-06-01T16:45:00	EXHIBITION
181494348	123325782	2023-05-31T12:15:00	2023-05-31T12:45:00	EXHIBITION
181494356	123325802	2023-05-31T12:15:00	2023-05-31T12:45:00	EXHIBITION
181494366	123325279	2023-06-01T16:30:00	2023-06-01T16:45:00	EXHIBITION
181495633	123393869	2023-06-06T16:30:00	2023-06-06T16:45:00	EXHIBITION
181496057	123326532	2023-05-27T11:45:00	2023-05-27T12:00:00	EXHIBITION
181497665	123327121	2023-05-27T09:00:00	2023-05-27T09:15:00	EXHIBITION
181497665	123327122	2023-06-01T17:00:00	2023-06-01T17:15:00	EXHIBITION
181497802	123310782	2023-05-27T14:30:00	2023-05-27T14:45:00	EXHIBITION
181498600	123316800	2023-05-27T11:40:00	2023-05-27T11:55:00	EXHIBITION
181498747	123309158	2023-05-28T11:00:00	2023-05-28T11:15:00	EXHIBITION
181499689	123300767	2023-05-27T09:30:00	2023-05-27T09:45:00	EXHIBITION
181503102	123326353	2023-05-31T12:55:00	2023-05-31T13:10:00	EXHIBITION
181503272	123330623	2023-05-27T12:45:00	2023-05-27T13:00:00	EXHIBITION
181503272	123330624	2023-05-31T16:15:00	2023-05-31T16:30:00	EXHIBITION
181503936	123304145	2023-05-27T11:35:00	2023-05-27T11:50:00	EXHIBITION
181504591	123271510	2023-05-27T12:15:00	2023-05-27T12:30:00	EXHIBITION
181505225	123316186	2023-06-01T16:45:00	2023-06-01T17:00:00	EXHIBITION
181509596	123309276	2023-05-27T13:30:00	2023-05-27T13:45:00	EXHIBITION
181511710	123310616	2023-05-27T15:15:00	2023-05-27T15:30:00	EXHIBITION
181512167	123493575	2023-06-19T12:00:00	2023-06-19T12:15:00	EXHIBITION
181512167	123493576	2023-06-21T15:30:00	2023-06-21T15:45:00	EXHIBITION
181512167	123493577	2023-06-17T11:30:00	2023-06-17T11:45:00	EXHIBITION
181513139	123314354	2023-05-27T11:20:00	2023-05-27T11:35:00	EXHIBITION
181513405	123321353	2023-05-27T13:50:00	2023-05-27T14:10:00	EXHIBITION
181513542	123325562	2023-05-28T10:00:00	2023-05-28T10:20:00	EXHIBITION
181513553	123309437	2023-05-27T10:30:00	2023-05-27T11:00:00	EXHIBITION
181513562	123321274	2023-05-27T11:30:00	2023-05-27T11:50:00	EXHIBITION
181514790	123297096	2023-05-27T11:00:00	2023-05-27T11:20:00	EXHIBITION
181515751	123314298	2023-05-27T12:00:00	2023-05-27T12:15:00	EXHIBITION
